----------------------------------------
[24.06.2021 | 12:32:18] All frames loaded, count: 201
[24.06.2021 | 13:26:48] Binarization frame 51 complete!
[24.06.2021 | 13:26:48] Binarization frame 52 complete!
[24.06.2021 | 13:26:48] Binarization frame 53 complete!
[24.06.2021 | 13:26:48] Binarization frame 54 complete!
[24.06.2021 | 13:26:48] Binarization frame 55 complete!
[24.06.2021 | 13:26:48] Binarization frame 56 complete!
[24.06.2021 | 13:26:48] Binarization frame 57 complete!
[24.06.2021 | 13:26:48] Binarization frame 58 complete!
[24.06.2021 | 13:26:48] Binarization frame 59 complete!
[24.06.2021 | 13:26:48] Binarization frame 60 complete!
[24.06.2021 | 13:26:48] Binarization frame 61 complete!
[24.06.2021 | 13:26:48] Binarization frame 62 complete!
[24.06.2021 | 13:26:48] Binarization frame 63 complete!
[24.06.2021 | 13:26:48] Binarization frame 64 complete!
[24.06.2021 | 13:26:48] Binarization frame 65 complete!
[24.06.2021 | 13:26:48] Binarization frame 66 complete!
[24.06.2021 | 13:26:48] Binarization frame 67 complete!
[24.06.2021 | 13:26:48] Binarization frame 68 complete!
[24.06.2021 | 13:26:48] Binarization frame 69 complete!
[24.06.2021 | 13:26:48] Binarization frame 70 complete!
[24.06.2021 | 13:26:48] Binarization frame 71 complete!
[24.06.2021 | 13:26:48] Binarization frame 72 complete!
[24.06.2021 | 13:26:48] Binarization frame 73 complete!
[24.06.2021 | 13:26:48] Binarization frame 74 complete!
[24.06.2021 | 13:26:48] Binarization frame 75 complete!
[24.06.2021 | 13:26:48] Binarization frame 76 complete!
[24.06.2021 | 13:26:48] Binarization frame 77 complete!
[24.06.2021 | 13:26:48] Binarization frame 78 complete!
[24.06.2021 | 13:26:48] Binarization frame 79 complete!
[24.06.2021 | 13:26:48] Binarization frame 80 complete!
[24.06.2021 | 13:26:48] Binarization frame 81 complete!
[24.06.2021 | 13:26:48] Binarization frame 82 complete!
[24.06.2021 | 13:26:48] Binarization frame 83 complete!
[24.06.2021 | 13:26:48] Binarization frame 84 complete!
[24.06.2021 | 13:26:48] Binarization frame 85 complete!
[24.06.2021 | 13:26:48] Binarization frame 86 complete!
[24.06.2021 | 13:26:48] Binarization frame 87 complete!
[24.06.2021 | 13:26:48] Binarization frame 88 complete!
[24.06.2021 | 13:26:48] Binarization frame 89 complete!
[24.06.2021 | 13:26:48] Binarization frame 90 complete!
[24.06.2021 | 13:26:48] Binarization frame 91 complete!
[24.06.2021 | 13:26:48] Binarization frame 92 complete!
[24.06.2021 | 13:26:48] Binarization frame 93 complete!
[24.06.2021 | 13:26:48] Binarization frame 94 complete!
[24.06.2021 | 13:26:48] Binarization frame 95 complete!
[24.06.2021 | 13:26:48] Binarization frame 96 complete!
[24.06.2021 | 13:26:48] Binarization frame 97 complete!
[24.06.2021 | 13:26:48] Binarization frame 98 complete!
[24.06.2021 | 13:26:48] Binarization frame 99 complete!
[24.06.2021 | 13:26:48] Binarization frame 100 complete!
[24.06.2021 | 13:26:48] Binarization frame 101 complete!
[24.06.2021 | 13:26:48] Binarization frame 102 complete!
[24.06.2021 | 13:26:48] Binarization frame 103 complete!
[24.06.2021 | 13:26:48] Binarization frame 104 complete!
[24.06.2021 | 13:26:48] Binarization frame 105 complete!
[24.06.2021 | 13:26:48] Binarization frame 106 complete!
[24.06.2021 | 13:26:48] Binarization frame 107 complete!
[24.06.2021 | 13:26:48] Binarization frame 108 complete!
[24.06.2021 | 13:26:48] Binarization frame 109 complete!
[24.06.2021 | 13:26:48] Binarization frame 110 complete!
[24.06.2021 | 13:26:48] Binarization frame 111 complete!
[24.06.2021 | 13:26:48] Binarization frame 112 complete!
[24.06.2021 | 13:26:48] Binarization frame 113 complete!
[24.06.2021 | 13:26:48] Binarization frame 114 complete!
[24.06.2021 | 13:26:48] Binarization frame 115 complete!
[24.06.2021 | 13:26:48] Binarization frame 116 complete!
[24.06.2021 | 13:26:48] Binarization frame 117 complete!
[24.06.2021 | 13:26:48] Binarization frame 118 complete!
[24.06.2021 | 13:26:48] Binarization frame 119 complete!
[24.06.2021 | 13:26:48] Binarization frame 120 complete!
[24.06.2021 | 13:26:48] Binarization frame 121 complete!
[24.06.2021 | 13:26:48] Binarization frame 122 complete!
[24.06.2021 | 13:26:48] Binarization frame 123 complete!
[24.06.2021 | 13:26:48] Binarization frame 124 complete!
[24.06.2021 | 13:26:48] Binarization frame 125 complete!
[24.06.2021 | 13:26:48] Binarization frame 126 complete!
[24.06.2021 | 13:26:48] Binarization frame 127 complete!
[24.06.2021 | 13:26:48] Binarization frame 128 complete!
[24.06.2021 | 13:26:48] Binarization frame 129 complete!
[24.06.2021 | 13:26:48] Binarization frame 130 complete!
[24.06.2021 | 13:26:48] Binarization frame 131 complete!
[24.06.2021 | 13:26:48] Binarization frame 132 complete!
[24.06.2021 | 13:26:48] Binarization frame 133 complete!
[24.06.2021 | 13:26:48] Binarization frame 134 complete!
[24.06.2021 | 13:26:48] Binarization frame 135 complete!
[24.06.2021 | 13:26:48] Binarization frame 136 complete!
[24.06.2021 | 13:26:48] Binarization frame 137 complete!
[24.06.2021 | 13:26:48] Binarization frame 138 complete!
[24.06.2021 | 13:26:48] Binarization frame 139 complete!
[24.06.2021 | 13:26:48] Binarization frame 140 complete!
[24.06.2021 | 13:26:48] Binarization frame 141 complete!
[24.06.2021 | 13:26:48] Binarization frame 142 complete!
[24.06.2021 | 13:26:48] Binarization frame 143 complete!
[24.06.2021 | 13:26:48] Binarization frame 144 complete!
[24.06.2021 | 13:26:48] Binarization frame 145 complete!
[24.06.2021 | 13:26:48] Binarization frame 146 complete!
[24.06.2021 | 13:26:48] Binarization frame 147 complete!
[24.06.2021 | 13:26:48] Binarization frame 148 complete!
[24.06.2021 | 13:26:48] Binarization frame 149 complete!
[24.06.2021 | 13:26:48] Binarization frame 150 complete!
[24.06.2021 | 13:26:48] Binarization frame 151 complete!
[24.06.2021 | 13:26:48] Binarization frame 152 complete!
[24.06.2021 | 13:26:48] Binarization frame 153 complete!
[24.06.2021 | 13:26:48] Binarization frame 154 complete!
[24.06.2021 | 13:26:48] Binarization frame 155 complete!
[24.06.2021 | 13:26:48] Binarization frame 156 complete!
[24.06.2021 | 13:26:48] Binarization frame 157 complete!
[24.06.2021 | 13:26:48] Binarization frame 158 complete!
[24.06.2021 | 13:26:48] Binarization frame 159 complete!
[24.06.2021 | 13:26:48] Binarization frame 160 complete!
[24.06.2021 | 13:26:48] Binarization frame 161 complete!
[24.06.2021 | 13:26:48] Binarization frame 162 complete!
[24.06.2021 | 13:26:48] Binarization frame 163 complete!
[24.06.2021 | 13:26:48] Binarization frame 164 complete!
[24.06.2021 | 13:26:48] Binarization frame 165 complete!
[24.06.2021 | 13:26:48] Binarization frame 166 complete!
[24.06.2021 | 13:26:48] Binarization frame 167 complete!
[24.06.2021 | 13:26:48] Binarization frame 168 complete!
[24.06.2021 | 13:26:48] Binarization frame 169 complete!
[24.06.2021 | 13:26:48] Binarization frame 170 complete!
[24.06.2021 | 13:26:48] Binarization frame 171 complete!
[24.06.2021 | 13:26:48] Binarization frame 172 complete!
[24.06.2021 | 13:26:48] Binarization frame 173 complete!
[24.06.2021 | 13:26:48] Binarization frame 174 complete!
[24.06.2021 | 13:26:48] Binarization frame 175 complete!
[24.06.2021 | 13:26:48] Binarization frame 176 complete!
[24.06.2021 | 13:26:48] Binarization frame 177 complete!
[24.06.2021 | 13:26:48] Binarization frame 178 complete!
[24.06.2021 | 13:26:48] Binarization frame 179 complete!
[24.06.2021 | 13:26:48] Binarization frame 180 complete!
[24.06.2021 | 13:26:48] Binarization frame 181 complete!
[24.06.2021 | 13:26:48] Binarization frame 182 complete!
[24.06.2021 | 13:26:48] Binarization frame 183 complete!
[24.06.2021 | 13:26:48] Binarization frame 184 complete!
[24.06.2021 | 13:26:48] Binarization frame 185 complete!
[24.06.2021 | 13:26:48] Binarization frame 186 complete!
[24.06.2021 | 13:26:48] Binarization frame 187 complete!
[24.06.2021 | 13:26:48] Binarization frame 188 complete!
[24.06.2021 | 13:26:48] Binarization frame 189 complete!
[24.06.2021 | 13:26:48] Binarization frame 190 complete!
[24.06.2021 | 13:26:48] Binarization frame 191 complete!
[24.06.2021 | 13:26:48] Binarization frame 192 complete!
[24.06.2021 | 13:26:48] Binarization frame 193 complete!
[24.06.2021 | 13:26:48] Binarization frame 194 complete!
[24.06.2021 | 13:26:48] Binarization frame 195 complete!
[24.06.2021 | 13:26:48] Binarization frame 196 complete!
[24.06.2021 | 13:26:48] Binarization frame 197 complete!
[24.06.2021 | 13:26:48] Binarization frame 198 complete!
[24.06.2021 | 13:26:48] Binarization frame 199 complete!
[24.06.2021 | 13:26:48] Binarization frame 200 complete!
[24.06.2021 | 13:26:48] Binarization is done! Time spent: 953ms
----------------------------------------
----------------------------------------
[24.06.2021 | 13:29:18] All frames loaded, count: 201
----------------------------------------
----------------------------------------
[24.06.2021 | 13:29:54] All frames loaded, count: 201
[24.06.2021 | 13:29:54] All frames saved, count: 201
[24.06.2021 | 13:29:54] Saved to dir: D:\Porous Silicon\2021\Video\28\C001H001S0002\28_error
----------------------------------------
----------------------------------------
[24.06.2021 | 13:47:04] All frames loaded, count: 19
----------------------------------------
----------------------------------------
[24.06.2021 | 13:47:25] All frames loaded, count: 19
----------------------------------------
----------------------------------------
[24.06.2021 | 13:53:52] All frames loaded, count: 801
----------------------------------------
----------------------------------------
[24.06.2021 | 14:31:56] All frames loaded, count: 801
[24.06.2021 | 14:31:56] Binarization frame 0 complete!
[24.06.2021 | 14:31:56] Binarization frame 1 complete!
[24.06.2021 | 14:31:56] Binarization frame 2 complete!
[24.06.2021 | 14:31:56] Binarization frame 3 complete!
[24.06.2021 | 14:31:56] Binarization frame 4 complete!
[24.06.2021 | 14:31:56] Binarization frame 5 complete!
[24.06.2021 | 14:31:56] Binarization frame 6 complete!
[24.06.2021 | 14:31:56] Binarization frame 7 complete!
[24.06.2021 | 14:31:56] Binarization frame 8 complete!
[24.06.2021 | 14:31:56] Binarization frame 9 complete!
[24.06.2021 | 14:31:56] Binarization frame 10 complete!
[24.06.2021 | 14:31:56] Binarization frame 11 complete!
[24.06.2021 | 14:31:56] Binarization frame 12 complete!
[24.06.2021 | 14:31:56] Binarization frame 13 complete!
[24.06.2021 | 14:31:56] Binarization frame 14 complete!
[24.06.2021 | 14:31:56] Binarization frame 15 complete!
[24.06.2021 | 14:31:56] Binarization frame 16 complete!
[24.06.2021 | 14:31:56] Binarization frame 17 complete!
[24.06.2021 | 14:31:56] Binarization frame 18 complete!
[24.06.2021 | 14:31:56] Binarization frame 19 complete!
[24.06.2021 | 14:31:56] Binarization frame 20 complete!
[24.06.2021 | 14:31:56] Binarization frame 21 complete!
[24.06.2021 | 14:31:56] Binarization frame 22 complete!
[24.06.2021 | 14:31:56] Binarization frame 23 complete!
[24.06.2021 | 14:31:56] Binarization frame 24 complete!
[24.06.2021 | 14:31:56] Binarization frame 25 complete!
[24.06.2021 | 14:31:56] Binarization frame 26 complete!
[24.06.2021 | 14:31:56] Binarization frame 27 complete!
[24.06.2021 | 14:31:56] Binarization frame 28 complete!
[24.06.2021 | 14:31:56] Binarization frame 29 complete!
[24.06.2021 | 14:31:56] Binarization frame 30 complete!
[24.06.2021 | 14:31:56] Binarization frame 31 complete!
[24.06.2021 | 14:31:56] Binarization frame 32 complete!
[24.06.2021 | 14:31:56] Binarization frame 33 complete!
[24.06.2021 | 14:31:56] Binarization frame 34 complete!
[24.06.2021 | 14:31:56] Binarization frame 35 complete!
[24.06.2021 | 14:31:56] Binarization frame 36 complete!
[24.06.2021 | 14:31:56] Binarization frame 37 complete!
[24.06.2021 | 14:31:56] Binarization frame 38 complete!
[24.06.2021 | 14:31:56] Binarization frame 39 complete!
[24.06.2021 | 14:31:56] Binarization frame 40 complete!
[24.06.2021 | 14:31:56] Binarization frame 41 complete!
[24.06.2021 | 14:31:56] Binarization frame 42 complete!
[24.06.2021 | 14:31:56] Binarization frame 43 complete!
[24.06.2021 | 14:31:56] Binarization frame 44 complete!
[24.06.2021 | 14:31:56] Binarization frame 45 complete!
[24.06.2021 | 14:31:56] Binarization frame 46 complete!
[24.06.2021 | 14:31:56] Binarization frame 47 complete!
[24.06.2021 | 14:31:56] Binarization frame 48 complete!
[24.06.2021 | 14:31:56] Binarization frame 49 complete!
[24.06.2021 | 14:31:56] Binarization frame 50 complete!
[24.06.2021 | 14:31:56] Binarization frame 51 complete!
[24.06.2021 | 14:31:56] Binarization frame 52 complete!
[24.06.2021 | 14:31:56] Binarization frame 53 complete!
[24.06.2021 | 14:31:56] Binarization frame 54 complete!
[24.06.2021 | 14:31:56] Binarization frame 55 complete!
[24.06.2021 | 14:31:56] Binarization frame 56 complete!
[24.06.2021 | 14:31:56] Binarization frame 57 complete!
[24.06.2021 | 14:31:56] Binarization frame 58 complete!
[24.06.2021 | 14:31:56] Binarization frame 59 complete!
[24.06.2021 | 14:31:56] Binarization frame 60 complete!
[24.06.2021 | 14:31:56] Binarization frame 61 complete!
[24.06.2021 | 14:31:56] Binarization frame 62 complete!
[24.06.2021 | 14:31:56] Binarization frame 63 complete!
[24.06.2021 | 14:31:56] Binarization frame 64 complete!
[24.06.2021 | 14:31:56] Binarization frame 65 complete!
[24.06.2021 | 14:31:56] Binarization frame 66 complete!
[24.06.2021 | 14:31:56] Binarization frame 67 complete!
[24.06.2021 | 14:31:56] Binarization frame 68 complete!
[24.06.2021 | 14:31:56] Binarization frame 69 complete!
[24.06.2021 | 14:31:56] Binarization frame 70 complete!
[24.06.2021 | 14:31:56] Binarization frame 71 complete!
[24.06.2021 | 14:31:56] Binarization frame 72 complete!
[24.06.2021 | 14:31:56] Binarization frame 73 complete!
[24.06.2021 | 14:31:56] Binarization frame 74 complete!
[24.06.2021 | 14:31:56] Binarization frame 75 complete!
[24.06.2021 | 14:31:56] Binarization frame 76 complete!
[24.06.2021 | 14:31:56] Binarization frame 77 complete!
[24.06.2021 | 14:31:56] Binarization frame 78 complete!
[24.06.2021 | 14:31:56] Binarization frame 79 complete!
[24.06.2021 | 14:31:56] Binarization frame 80 complete!
[24.06.2021 | 14:31:56] Binarization frame 81 complete!
[24.06.2021 | 14:31:56] Binarization frame 82 complete!
[24.06.2021 | 14:31:56] Binarization frame 83 complete!
[24.06.2021 | 14:31:56] Binarization frame 84 complete!
[24.06.2021 | 14:31:56] Binarization frame 85 complete!
[24.06.2021 | 14:31:56] Binarization frame 86 complete!
[24.06.2021 | 14:31:56] Binarization frame 87 complete!
[24.06.2021 | 14:31:56] Binarization frame 88 complete!
[24.06.2021 | 14:31:56] Binarization frame 89 complete!
[24.06.2021 | 14:31:56] Binarization frame 90 complete!
[24.06.2021 | 14:31:56] Binarization frame 91 complete!
[24.06.2021 | 14:31:56] Binarization frame 92 complete!
[24.06.2021 | 14:31:56] Binarization frame 93 complete!
[24.06.2021 | 14:31:56] Binarization frame 94 complete!
[24.06.2021 | 14:31:56] Binarization frame 95 complete!
[24.06.2021 | 14:31:56] Binarization frame 96 complete!
[24.06.2021 | 14:31:56] Binarization frame 97 complete!
[24.06.2021 | 14:31:56] Binarization frame 98 complete!
[24.06.2021 | 14:31:56] Binarization frame 99 complete!
[24.06.2021 | 14:31:56] Binarization frame 100 complete!
[24.06.2021 | 14:31:56] Binarization frame 101 complete!
[24.06.2021 | 14:31:56] Binarization frame 102 complete!
[24.06.2021 | 14:31:56] Binarization frame 103 complete!
[24.06.2021 | 14:31:56] Binarization frame 104 complete!
[24.06.2021 | 14:31:56] Binarization frame 105 complete!
[24.06.2021 | 14:31:56] Binarization frame 106 complete!
[24.06.2021 | 14:31:56] Binarization frame 107 complete!
[24.06.2021 | 14:31:56] Binarization frame 108 complete!
[24.06.2021 | 14:31:56] Binarization frame 109 complete!
[24.06.2021 | 14:31:56] Binarization frame 110 complete!
[24.06.2021 | 14:31:56] Binarization frame 111 complete!
[24.06.2021 | 14:31:56] Binarization frame 112 complete!
[24.06.2021 | 14:31:56] Binarization frame 113 complete!
[24.06.2021 | 14:31:56] Binarization frame 114 complete!
[24.06.2021 | 14:31:56] Binarization frame 115 complete!
[24.06.2021 | 14:31:56] Binarization frame 116 complete!
[24.06.2021 | 14:31:56] Binarization frame 117 complete!
[24.06.2021 | 14:31:56] Binarization frame 118 complete!
[24.06.2021 | 14:31:56] Binarization frame 119 complete!
[24.06.2021 | 14:31:56] Binarization frame 120 complete!
[24.06.2021 | 14:31:56] Binarization frame 121 complete!
[24.06.2021 | 14:31:56] Binarization frame 122 complete!
[24.06.2021 | 14:31:56] Binarization frame 123 complete!
[24.06.2021 | 14:31:56] Binarization frame 124 complete!
[24.06.2021 | 14:31:56] Binarization frame 125 complete!
[24.06.2021 | 14:31:56] Binarization frame 126 complete!
[24.06.2021 | 14:31:56] Binarization frame 127 complete!
[24.06.2021 | 14:31:56] Binarization frame 128 complete!
[24.06.2021 | 14:31:56] Binarization frame 129 complete!
[24.06.2021 | 14:31:56] Binarization frame 130 complete!
[24.06.2021 | 14:31:56] Binarization frame 131 complete!
[24.06.2021 | 14:31:56] Binarization frame 132 complete!
[24.06.2021 | 14:31:56] Binarization frame 133 complete!
[24.06.2021 | 14:31:56] Binarization frame 134 complete!
[24.06.2021 | 14:31:56] Binarization frame 135 complete!
[24.06.2021 | 14:31:56] Binarization frame 136 complete!
[24.06.2021 | 14:31:56] Binarization frame 137 complete!
[24.06.2021 | 14:31:56] Binarization frame 138 complete!
[24.06.2021 | 14:31:56] Binarization frame 139 complete!
[24.06.2021 | 14:31:56] Binarization frame 140 complete!
[24.06.2021 | 14:31:56] Binarization frame 141 complete!
[24.06.2021 | 14:31:56] Binarization frame 142 complete!
[24.06.2021 | 14:31:56] Binarization frame 143 complete!
[24.06.2021 | 14:31:56] Binarization frame 144 complete!
[24.06.2021 | 14:31:56] Binarization frame 145 complete!
[24.06.2021 | 14:31:56] Binarization frame 146 complete!
[24.06.2021 | 14:31:56] Binarization frame 147 complete!
[24.06.2021 | 14:31:56] Binarization frame 148 complete!
[24.06.2021 | 14:31:56] Binarization frame 149 complete!
[24.06.2021 | 14:31:56] Binarization frame 150 complete!
[24.06.2021 | 14:31:56] Binarization frame 151 complete!
[24.06.2021 | 14:31:56] Binarization frame 152 complete!
[24.06.2021 | 14:31:56] Binarization frame 153 complete!
[24.06.2021 | 14:31:56] Binarization frame 154 complete!
[24.06.2021 | 14:31:56] Binarization frame 155 complete!
[24.06.2021 | 14:31:56] Binarization frame 156 complete!
[24.06.2021 | 14:31:56] Binarization frame 157 complete!
[24.06.2021 | 14:31:56] Binarization frame 158 complete!
[24.06.2021 | 14:31:56] Binarization frame 159 complete!
[24.06.2021 | 14:31:56] Binarization frame 160 complete!
[24.06.2021 | 14:31:56] Binarization frame 161 complete!
[24.06.2021 | 14:31:56] Binarization frame 162 complete!
[24.06.2021 | 14:31:56] Binarization frame 163 complete!
[24.06.2021 | 14:31:56] Binarization frame 164 complete!
[24.06.2021 | 14:31:56] Binarization frame 165 complete!
[24.06.2021 | 14:31:56] Binarization frame 166 complete!
[24.06.2021 | 14:31:56] Binarization frame 167 complete!
[24.06.2021 | 14:31:56] Binarization frame 168 complete!
[24.06.2021 | 14:31:56] Binarization frame 169 complete!
[24.06.2021 | 14:31:56] Binarization frame 170 complete!
[24.06.2021 | 14:31:56] Binarization frame 171 complete!
[24.06.2021 | 14:31:56] Binarization frame 172 complete!
[24.06.2021 | 14:31:56] Binarization frame 173 complete!
[24.06.2021 | 14:31:56] Binarization frame 174 complete!
[24.06.2021 | 14:31:56] Binarization frame 175 complete!
[24.06.2021 | 14:31:56] Binarization frame 176 complete!
[24.06.2021 | 14:31:56] Binarization frame 177 complete!
[24.06.2021 | 14:31:56] Binarization frame 178 complete!
[24.06.2021 | 14:31:56] Binarization frame 179 complete!
[24.06.2021 | 14:31:56] Binarization frame 180 complete!
[24.06.2021 | 14:31:56] Binarization frame 181 complete!
[24.06.2021 | 14:31:56] Binarization frame 182 complete!
[24.06.2021 | 14:31:56] Binarization frame 183 complete!
[24.06.2021 | 14:31:56] Binarization frame 184 complete!
[24.06.2021 | 14:31:56] Binarization frame 185 complete!
[24.06.2021 | 14:31:56] Binarization frame 186 complete!
[24.06.2021 | 14:31:56] Binarization frame 187 complete!
[24.06.2021 | 14:31:56] Binarization frame 188 complete!
[24.06.2021 | 14:31:56] Binarization frame 189 complete!
[24.06.2021 | 14:31:56] Binarization frame 190 complete!
[24.06.2021 | 14:31:56] Binarization frame 191 complete!
[24.06.2021 | 14:31:56] Binarization frame 192 complete!
[24.06.2021 | 14:31:56] Binarization frame 193 complete!
[24.06.2021 | 14:31:56] Binarization frame 194 complete!
[24.06.2021 | 14:31:56] Binarization frame 195 complete!
[24.06.2021 | 14:31:56] Binarization frame 196 complete!
[24.06.2021 | 14:31:56] Binarization frame 197 complete!
[24.06.2021 | 14:31:56] Binarization frame 198 complete!
[24.06.2021 | 14:31:56] Binarization frame 199 complete!
[24.06.2021 | 14:31:56] Binarization frame 200 complete!
[24.06.2021 | 14:31:56] Binarization frame 201 complete!
[24.06.2021 | 14:31:56] Binarization frame 202 complete!
[24.06.2021 | 14:31:56] Binarization frame 203 complete!
[24.06.2021 | 14:31:56] Binarization frame 204 complete!
[24.06.2021 | 14:31:56] Binarization frame 205 complete!
[24.06.2021 | 14:31:56] Binarization frame 206 complete!
[24.06.2021 | 14:31:56] Binarization frame 207 complete!
[24.06.2021 | 14:31:56] Binarization frame 208 complete!
[24.06.2021 | 14:31:56] Binarization frame 209 complete!
[24.06.2021 | 14:31:56] Binarization frame 210 complete!
[24.06.2021 | 14:31:56] Binarization frame 211 complete!
[24.06.2021 | 14:31:56] Binarization frame 212 complete!
[24.06.2021 | 14:31:56] Binarization frame 213 complete!
[24.06.2021 | 14:31:56] Binarization frame 214 complete!
[24.06.2021 | 14:31:56] Binarization frame 215 complete!
[24.06.2021 | 14:31:56] Binarization frame 216 complete!
[24.06.2021 | 14:31:56] Binarization frame 217 complete!
[24.06.2021 | 14:31:56] Binarization frame 218 complete!
[24.06.2021 | 14:31:56] Binarization frame 219 complete!
[24.06.2021 | 14:31:56] Binarization frame 220 complete!
[24.06.2021 | 14:31:56] Binarization frame 221 complete!
[24.06.2021 | 14:31:56] Binarization frame 222 complete!
[24.06.2021 | 14:31:56] Binarization frame 223 complete!
[24.06.2021 | 14:31:56] Binarization frame 224 complete!
[24.06.2021 | 14:31:56] Binarization frame 225 complete!
[24.06.2021 | 14:31:56] Binarization frame 226 complete!
[24.06.2021 | 14:31:56] Binarization frame 227 complete!
[24.06.2021 | 14:31:56] Binarization frame 228 complete!
[24.06.2021 | 14:31:56] Binarization frame 229 complete!
[24.06.2021 | 14:31:56] Binarization frame 230 complete!
[24.06.2021 | 14:31:56] Binarization frame 231 complete!
[24.06.2021 | 14:31:56] Binarization frame 232 complete!
[24.06.2021 | 14:31:56] Binarization frame 233 complete!
[24.06.2021 | 14:31:56] Binarization frame 234 complete!
[24.06.2021 | 14:31:56] Binarization frame 235 complete!
[24.06.2021 | 14:31:56] Binarization frame 236 complete!
[24.06.2021 | 14:31:56] Binarization frame 237 complete!
[24.06.2021 | 14:31:56] Binarization frame 238 complete!
[24.06.2021 | 14:31:56] Binarization frame 239 complete!
[24.06.2021 | 14:31:56] Binarization frame 240 complete!
[24.06.2021 | 14:31:56] Binarization frame 241 complete!
[24.06.2021 | 14:31:56] Binarization frame 242 complete!
[24.06.2021 | 14:31:56] Binarization frame 243 complete!
[24.06.2021 | 14:31:56] Binarization frame 244 complete!
[24.06.2021 | 14:31:56] Binarization frame 245 complete!
[24.06.2021 | 14:31:56] Binarization frame 246 complete!
[24.06.2021 | 14:31:56] Binarization frame 247 complete!
[24.06.2021 | 14:31:56] Binarization frame 248 complete!
[24.06.2021 | 14:31:56] Binarization frame 249 complete!
[24.06.2021 | 14:31:56] Binarization frame 250 complete!
[24.06.2021 | 14:31:56] Binarization frame 251 complete!
[24.06.2021 | 14:31:56] Binarization frame 252 complete!
[24.06.2021 | 14:31:56] Binarization frame 253 complete!
[24.06.2021 | 14:31:56] Binarization frame 254 complete!
[24.06.2021 | 14:31:56] Binarization frame 255 complete!
[24.06.2021 | 14:31:56] Binarization frame 256 complete!
[24.06.2021 | 14:31:56] Binarization frame 257 complete!
[24.06.2021 | 14:31:56] Binarization frame 258 complete!
[24.06.2021 | 14:31:56] Binarization frame 259 complete!
[24.06.2021 | 14:31:56] Binarization frame 260 complete!
[24.06.2021 | 14:31:56] Binarization frame 261 complete!
[24.06.2021 | 14:31:56] Binarization frame 262 complete!
[24.06.2021 | 14:31:56] Binarization frame 263 complete!
[24.06.2021 | 14:31:56] Binarization frame 264 complete!
[24.06.2021 | 14:31:56] Binarization frame 265 complete!
[24.06.2021 | 14:31:56] Binarization frame 266 complete!
[24.06.2021 | 14:31:56] Binarization frame 267 complete!
[24.06.2021 | 14:31:56] Binarization frame 268 complete!
[24.06.2021 | 14:31:56] Binarization frame 269 complete!
[24.06.2021 | 14:31:56] Binarization frame 270 complete!
[24.06.2021 | 14:31:56] Binarization frame 271 complete!
[24.06.2021 | 14:31:56] Binarization frame 272 complete!
[24.06.2021 | 14:31:56] Binarization frame 273 complete!
[24.06.2021 | 14:31:56] Binarization frame 274 complete!
[24.06.2021 | 14:31:56] Binarization frame 275 complete!
[24.06.2021 | 14:31:56] Binarization frame 276 complete!
[24.06.2021 | 14:31:56] Binarization frame 277 complete!
[24.06.2021 | 14:31:56] Binarization frame 278 complete!
[24.06.2021 | 14:31:56] Binarization frame 279 complete!
[24.06.2021 | 14:31:56] Binarization frame 280 complete!
[24.06.2021 | 14:31:56] Binarization frame 281 complete!
[24.06.2021 | 14:31:56] Binarization frame 282 complete!
[24.06.2021 | 14:31:56] Binarization frame 283 complete!
[24.06.2021 | 14:31:56] Binarization frame 284 complete!
[24.06.2021 | 14:31:56] Binarization frame 285 complete!
[24.06.2021 | 14:31:56] Binarization frame 286 complete!
[24.06.2021 | 14:31:56] Binarization frame 287 complete!
[24.06.2021 | 14:31:56] Binarization frame 288 complete!
[24.06.2021 | 14:31:56] Binarization frame 289 complete!
[24.06.2021 | 14:31:56] Binarization frame 290 complete!
[24.06.2021 | 14:31:56] Binarization frame 291 complete!
[24.06.2021 | 14:31:56] Binarization frame 292 complete!
[24.06.2021 | 14:31:56] Binarization frame 293 complete!
[24.06.2021 | 14:31:56] Binarization frame 294 complete!
[24.06.2021 | 14:31:56] Binarization frame 295 complete!
[24.06.2021 | 14:31:56] Binarization frame 296 complete!
[24.06.2021 | 14:31:56] Binarization frame 297 complete!
[24.06.2021 | 14:31:56] Binarization frame 298 complete!
[24.06.2021 | 14:31:56] Binarization frame 299 complete!
[24.06.2021 | 14:31:56] Binarization frame 300 complete!
[24.06.2021 | 14:31:56] Binarization frame 301 complete!
[24.06.2021 | 14:31:56] Binarization frame 302 complete!
[24.06.2021 | 14:31:56] Binarization frame 303 complete!
[24.06.2021 | 14:31:56] Binarization frame 304 complete!
[24.06.2021 | 14:31:56] Binarization frame 305 complete!
[24.06.2021 | 14:31:56] Binarization frame 306 complete!
[24.06.2021 | 14:31:56] Binarization frame 307 complete!
[24.06.2021 | 14:31:56] Binarization frame 308 complete!
[24.06.2021 | 14:31:56] Binarization frame 309 complete!
[24.06.2021 | 14:31:56] Binarization frame 310 complete!
[24.06.2021 | 14:31:56] Binarization frame 311 complete!
[24.06.2021 | 14:31:56] Binarization frame 312 complete!
[24.06.2021 | 14:31:56] Binarization frame 313 complete!
[24.06.2021 | 14:31:56] Binarization frame 314 complete!
[24.06.2021 | 14:31:56] Binarization frame 315 complete!
[24.06.2021 | 14:31:56] Binarization frame 316 complete!
[24.06.2021 | 14:31:56] Binarization frame 317 complete!
